occupation,salary,level,vacation,happiness
Mobile Developer,617916,Senior,True,5
BI Analyst,715617,Junior,False,2
Software Engineer,733555,Intermediate,True,4
BI Analyst,469200,Senior,False,2
Mobile Developer,464303,Senior,True,4
Mobile Developer,575477,Junior,False,1
Software Engineer,514819,Senior,False,1
BI Analyst,333968,Junior,True,2
AI Engineer,431085,Senior,True,2
BI Analyst,139607,Junior,True,2
BI Analyst,147976,Senior,True,2
QA Engineer,649538,Intermediate,True,5
Mobile Developer,129211,Junior,True,2
QA Engineer,111549,Senior,False,1
Mobile Developer,510916,Junior,False,2
AI Engineer,181797,Senior,False,1
BI Analyst,228887,Intermediate,True,1
Software Engineer,489414,Senior,False,1
QA Engineer,614046,Junior,False,1
AI Engineer,566626,Senior,False,1
Software Engineer,532914,Junior,True,2
Software Engineer,470173,Senior,False,2
HR Manager,627420,Intermediate,True,4
Mobile Developer,110130,Senior,True,2
Software Engineer,448909,Senior,True,2
QA Engineer,119130,Junior,True,1
QA Engineer,706256,Senior,False,2
Mobile Developer,520777,Senior,False,1
Software Engineer,158505,Intermediate,True,1
AI Engineer,516195,Senior,True,5
Mobile Developer,643137,Junior,False,2
BI Analyst,226290,Junior,False,1
QA Engineer,286362,Junior,True,2
HR Manager,192743,Senior,False,1
Mobile Developer,613769,Junior,False,2
BI Analyst,741026,Junior,False,1
BI Analyst,637952,Junior,False,2
QA Engineer,704132,Senior,True,5
Mobile Developer,151340,Senior,True,2
AI Engineer,466581,Senior,True,5
BI Analyst,545755,Intermediate,False,1
Software Engineer,263691,Senior,False,1
Software Engineer,702614,Senior,False,1
Mobile Developer,177681,Intermediate,False,1
BI Analyst,135679,Intermediate,False,1
Mobile Developer,496634,Junior,False,1
Software Engineer,665272,Intermediate,True,3
QA Engineer,303825,Intermediate,True,1
AI Engineer,463783,Senior,True,4
Mobile Developer,658835,Senior,False,1
Mobile Developer,694026,Junior,True,1
QA Engineer,531929,Junior,False,1
Mobile Developer,118221,Intermediate,True,1
QA Engineer,633448,Senior,True,3
Mobile Developer,268033,Senior,True,1
AI Engineer,629769,Senior,False,1
BI Analyst,382460,Intermediate,False,1
QA Engineer,283864,Junior,True,1
HR Manager,181380,Junior,False,1
HR Manager,563187,Junior,True,2
Mobile Developer,337286,Senior,True,2
HR Manager,272091,Intermediate,False,1
AI Engineer,718620,Junior,False,2
BI Analyst,543205,Senior,True,3
QA Engineer,391755,Junior,True,1
QA Engineer,440054,Senior,False,1
QA Engineer,431488,Intermediate,False,2
AI Engineer,370574,Senior,False,1
BI Analyst,331908,Intermediate,False,2
Software Engineer,474698,Senior,True,4
BI Analyst,331195,Senior,True,1
HR Manager,655895,Senior,True,3
HR Manager,351330,Senior,False,2
BI Analyst,680417,Senior,False,1
QA Engineer,452230,Junior,True,2
AI Engineer,687118,Senior,True,4
AI Engineer,671150,Junior,False,2
BI Analyst,503984,Senior,True,5
Mobile Developer,346953,Intermediate,False,2
BI Analyst,404130,Intermediate,False,1
HR Manager,393660,Junior,True,1
Mobile Developer,204551,Intermediate,False,2
Software Engineer,477758,Intermediate,False,1
BI Analyst,712516,Junior,False,2
HR Manager,172629,Junior,True,1
BI Analyst,488187,Senior,True,4
BI Analyst,269742,Senior,False,1
QA Engineer,594429,Senior,True,3
AI Engineer,611554,Junior,False,1
Mobile Developer,281829,Junior,True,2
Software Engineer,614092,Junior,False,2
Mobile Developer,184139,Junior,False,2
HR Manager,332012,Junior,True,1
HR Manager,234479,Intermediate,True,1
AI Engineer,726740,Senior,False,2
HR Manager,438588,Junior,True,1
BI Analyst,311642,Intermediate,True,2
QA Engineer,432081,Junior,True,1
Mobile Developer,719191,Senior,True,5
Software Engineer,656337,Senior,False,2
BI Analyst,604876,Junior,False,1
Software Engineer,624236,Junior,True,2
Mobile Developer,478412,Senior,True,4
HR Manager,701760,Senior,False,1
BI Analyst,116544,Junior,False,1
QA Engineer,557661,Junior,False,2
AI Engineer,593564,Junior,True,2
QA Engineer,262207,Junior,False,1
AI Engineer,520634,Senior,False,1
QA Engineer,150954,Intermediate,True,1
Software Engineer,161816,Intermediate,True,1
AI Engineer,742170,Intermediate,False,2
Mobile Developer,357431,Senior,True,1
Mobile Developer,414238,Senior,False,2
Mobile Developer,686147,Junior,False,2
Mobile Developer,670755,Junior,False,2
Mobile Developer,555079,Junior,True,1
AI Engineer,674038,Junior,True,1
BI Analyst,296649,Senior,False,2
HR Manager,259942,Junior,True,2
HR Manager,383283,Senior,False,1
Mobile Developer,618129,Senior,True,5
HR Manager,735028,Senior,True,4
AI Engineer,238010,Senior,False,1
BI Analyst,455350,Junior,True,1
BI Analyst,710877,Senior,False,2
AI Engineer,209805,Junior,False,1
Mobile Developer,666786,Intermediate,True,3
QA Engineer,362610,Intermediate,True,2
QA Engineer,398516,Senior,False,2
HR Manager,735157,Senior,True,4
HR Manager,119744,Intermediate,False,1
QA Engineer,461191,Intermediate,False,2
BI Analyst,690334,Intermediate,False,2
HR Manager,585734,Junior,True,1
Mobile Developer,572107,Intermediate,False,1
QA Engineer,290141,Intermediate,False,1
QA Engineer,648406,Junior,True,1
BI Analyst,560571,Junior,False,2
Mobile Developer,148682,Senior,False,1
Software Engineer,154619,Intermediate,False,2
BI Analyst,497018,Intermediate,False,2
QA Engineer,653881,Senior,False,2
Mobile Developer,535646,Junior,True,2
HR Manager,282749,Junior,False,2
QA Engineer,394219,Intermediate,True,2
Mobile Developer,163152,Intermediate,True,2
AI Engineer,545964,Junior,True,1
BI Analyst,309018,Senior,True,1
Software Engineer,345995,Senior,False,1
QA Engineer,666212,Intermediate,True,5
QA Engineer,322758,Senior,False,1
Mobile Developer,578813,Junior,False,1
Mobile Developer,147348,Intermediate,False,2
QA Engineer,663949,Intermediate,True,4
Mobile Developer,623730,Senior,False,1
Software Engineer,714879,Junior,True,1
Mobile Developer,320537,Senior,False,1
HR Manager,520425,Intermediate,True,5
Mobile Developer,312880,Intermediate,True,2
BI Analyst,472702,Senior,True,4
AI Engineer,307303,Junior,False,2
Mobile Developer,376509,Senior,False,1
HR Manager,339990,Intermediate,False,1
QA Engineer,493357,Intermediate,True,4
BI Analyst,102951,Intermediate,True,1
HR Manager,631745,Junior,True,1
HR Manager,747927,Intermediate,False,2
AI Engineer,670204,Junior,False,2
Mobile Developer,410118,Senior,False,2
Software Engineer,358057,Senior,True,2
HR Manager,128853,Junior,True,1
HR Manager,530151,Junior,True,2
Software Engineer,259696,Senior,False,1
HR Manager,486356,Senior,False,2
Software Engineer,571562,Senior,False,2
Software Engineer,114169,Junior,True,2
Software Engineer,497892,Senior,False,1
HR Manager,103810,Senior,False,2
AI Engineer,358028,Junior,False,1
AI Engineer,440607,Junior,False,1
AI Engineer,208912,Senior,True,1
AI Engineer,598942,Junior,True,1
Software Engineer,300165,Intermediate,True,1
AI Engineer,482104,Senior,True,5
QA Engineer,532710,Senior,False,2
Mobile Developer,102377,Intermediate,False,2
Mobile Developer,661387,Intermediate,True,4
Software Engineer,102542,Junior,False,1
HR Manager,104085,Junior,True,2
Software Engineer,198787,Junior,False,1
QA Engineer,719825,Intermediate,True,3
Software Engineer,601796,Senior,True,4
Software Engineer,567655,Senior,True,5
AI Engineer,644769,Junior,True,2
QA Engineer,616143,Intermediate,True,4
BI Analyst,366203,Intermediate,False,2
Software Engineer,539041,Senior,False,2
QA Engineer,228478,Junior,False,1
HR Manager,360876,Senior,False,2
HR Manager,327390,Senior,True,1
QA Engineer,137073,Senior,False,1
Mobile Developer,159196,Intermediate,False,1
Software Engineer,138744,Senior,False,1
QA Engineer,683126,Junior,True,2
BI Analyst,581970,Intermediate,True,4
Mobile Developer,281717,Intermediate,False,1
BI Analyst,277243,Senior,False,2
BI Analyst,625496,Senior,False,1
BI Analyst,672198,Senior,False,2
HR Manager,441504,Intermediate,False,2
HR Manager,303893,Intermediate,True,1
Software Engineer,486110,Intermediate,True,4
HR Manager,279671,Intermediate,False,2
HR Manager,670177,Senior,True,4
Software Engineer,359271,Junior,True,2
AI Engineer,658879,Intermediate,False,2
Mobile Developer,177611,Intermediate,True,1
BI Analyst,307668,Senior,True,1
Software Engineer,709084,Senior,True,5
Mobile Developer,438706,Senior,True,2
QA Engineer,615411,Intermediate,False,2
HR Manager,411091,Junior,True,1
AI Engineer,465698,Junior,False,2
Mobile Developer,232618,Senior,True,2
QA Engineer,744528,Intermediate,True,4
HR Manager,713781,Intermediate,True,3
AI Engineer,497423,Junior,False,1
HR Manager,241384,Intermediate,False,1
AI Engineer,614500,Senior,False,2
BI Analyst,544839,Intermediate,False,2
QA Engineer,587812,Junior,True,1
Mobile Developer,580844,Intermediate,True,3
BI Analyst,305313,Senior,True,2
AI Engineer,492825,Junior,True,1
AI Engineer,626409,Junior,False,2
AI Engineer,151431,Intermediate,True,2
AI Engineer,346952,Junior,True,1
Mobile Developer,164169,Senior,True,1
AI Engineer,107042,Intermediate,False,1
HR Manager,540619,Senior,True,5
HR Manager,313906,Senior,False,2
AI Engineer,687743,Intermediate,True,4
AI Engineer,601037,Intermediate,True,3
Mobile Developer,131310,Junior,False,2
QA Engineer,502334,Senior,False,2
BI Analyst,134381,Senior,True,1
Mobile Developer,299543,Junior,True,2
BI Analyst,587259,Intermediate,False,2
HR Manager,121927,Junior,True,1
HR Manager,477848,Senior,True,3
BI Analyst,238775,Senior,True,2
Mobile Developer,436691,Intermediate,True,2
QA Engineer,219074,Senior,True,1
BI Analyst,184234,Senior,False,2
AI Engineer,574896,Intermediate,False,2
Software Engineer,111444,Intermediate,False,1
Software Engineer,381026,Junior,True,2
BI Analyst,461413,Junior,False,1
HR Manager,491862,Intermediate,False,2
BI Analyst,330103,Senior,False,1
AI Engineer,176447,Senior,False,2
Software Engineer,102121,Senior,True,1
HR Manager,325657,Junior,True,2
AI Engineer,411861,Senior,False,1
BI Analyst,356436,Intermediate,True,2
BI Analyst,165627,Senior,True,2
QA Engineer,447352,Intermediate,True,2
BI Analyst,269134,Senior,True,1
BI Analyst,551924,Senior,True,5
QA Engineer,647254,Intermediate,True,5
QA Engineer,131746,Junior,True,2
Software Engineer,165521,Senior,False,1
HR Manager,717313,Junior,True,2
AI Engineer,203085,Senior,False,1
BI Analyst,397750,Junior,True,1
BI Analyst,217945,Senior,False,1
HR Manager,347478,Intermediate,False,2
HR Manager,669614,Senior,True,3
Software Engineer,741028,Senior,True,3
AI Engineer,208009,Junior,False,1
AI Engineer,433996,Senior,False,2
HR Manager,268557,Intermediate,True,1
Mobile Developer,228936,Intermediate,False,2
HR Manager,209478,Intermediate,False,2
AI Engineer,713088,Senior,True,5
AI Engineer,108750,Junior,True,1
HR Manager,594308,Junior,True,2
Software Engineer,727236,Intermediate,True,3
Mobile Developer,206753,Intermediate,True,1
QA Engineer,721244,Junior,False,2
AI Engineer,439932,Senior,False,2
Mobile Developer,141645,Intermediate,False,2
HR Manager,490410,Senior,False,2
Mobile Developer,700234,Senior,True,3
BI Analyst,526901,Senior,True,5
Software Engineer,654423,Intermediate,True,3
AI Engineer,333033,Intermediate,True,1
Mobile Developer,529767,Junior,True,1
Mobile Developer,120428,Senior,True,1
BI Analyst,149720,Junior,True,1
HR Manager,724396,Senior,False,2
Mobile Developer,736951,Senior,False,2
HR Manager,735406,Intermediate,False,1
HR Manager,367933,Senior,True,2
Mobile Developer,470277,Senior,True,4
Mobile Developer,460185,Junior,False,2
Software Engineer,674348,Intermediate,True,4
Mobile Developer,381897,Intermediate,True,1
AI Engineer,714461,Senior,True,5
Mobile Developer,226870,Intermediate,False,2
BI Analyst,153952,Junior,False,1
Software Engineer,513032,Junior,True,1
HR Manager,516747,Junior,False,1
Software Engineer,548726,Intermediate,True,5
QA Engineer,713591,Junior,False,2
BI Analyst,223623,Senior,False,2
QA Engineer,437971,Intermediate,False,1
Software Engineer,689980,Senior,True,4
Mobile Developer,268901,Intermediate,False,2
AI Engineer,664536,Junior,False,2
QA Engineer,565513,Intermediate,True,4
AI Engineer,273621,Junior,True,1
HR Manager,145461,Intermediate,False,1
Mobile Developer,565783,Junior,True,2
QA Engineer,171747,Intermediate,True,1
HR Manager,369775,Intermediate,False,1
Software Engineer,518926,Junior,False,2
HR Manager,538394,Intermediate,False,1
Mobile Developer,115122,Junior,False,2
Software Engineer,652639,Intermediate,True,3
HR Manager,500936,Senior,True,4
Software Engineer,545640,Junior,True,2
AI Engineer,680233,Senior,True,4
QA Engineer,640439,Junior,False,1
Software Engineer,582045,Junior,True,2
QA Engineer,111918,Junior,True,1
Mobile Developer,169718,Senior,True,1
Software Engineer,529133,Intermediate,False,1
Software Engineer,747187,Senior,True,3
BI Analyst,211772,Senior,True,1
QA Engineer,487830,Junior,True,2
Software Engineer,483048,Intermediate,False,2
Software Engineer,696749,Junior,False,1
AI Engineer,177770,Senior,False,2
Mobile Developer,359347,Senior,False,1
HR Manager,263299,Senior,False,1
AI Engineer,518899,Intermediate,False,2
BI Analyst,517400,Senior,False,1
AI Engineer,556588,Junior,True,1
BI Analyst,699320,Intermediate,False,2
QA Engineer,159066,Senior,False,1
Mobile Developer,286568,Senior,False,1
AI Engineer,421585,Intermediate,True,1
AI Engineer,391480,Senior,False,2
AI Engineer,635857,Senior,False,1
BI Analyst,703161,Intermediate,True,3
AI Engineer,217218,Senior,False,2
HR Manager,498410,Junior,False,1
BI Analyst,339601,Junior,True,2
BI Analyst,582266,Senior,False,2
HR Manager,474935,Senior,True,5
Mobile Developer,431931,Intermediate,False,2
BI Analyst,174977,Junior,True,2
BI Analyst,230885,Senior,True,1
HR Manager,378618,Intermediate,True,2
QA Engineer,570287,Junior,True,1
HR Manager,448398,Junior,False,2
BI Analyst,296557,Senior,False,2
Software Engineer,484989,Junior,True,1
BI Analyst,553920,Junior,True,1
Mobile Developer,302065,Senior,True,2
BI Analyst,633106,Junior,True,2
HR Manager,614496,Junior,False,2
HR Manager,359704,Junior,True,2
AI Engineer,523255,Junior,False,2
QA Engineer,260230,Senior,True,1
BI Analyst,440581,Intermediate,True,1
Mobile Developer,326796,Senior,False,2
AI Engineer,664708,Senior,False,2
QA Engineer,559767,Intermediate,False,1
QA Engineer,270256,Senior,True,2
Software Engineer,466162,Senior,False,2
BI Analyst,638184,Intermediate,False,2
QA Engineer,122944,Junior,True,2
BI Analyst,310030,Senior,True,2
HR Manager,125228,Senior,True,2
Software Engineer,534004,Junior,False,1
QA Engineer,711815,Intermediate,True,4
BI Analyst,484589,Senior,False,2
Software Engineer,336384,Junior,False,2
QA Engineer,342394,Intermediate,True,1
Mobile Developer,590627,Junior,True,1
HR Manager,437601,Intermediate,False,1
BI Analyst,611139,Intermediate,False,1
AI Engineer,156758,Senior,True,1
Mobile Developer,474857,Intermediate,False,2
BI Analyst,193125,Junior,False,1
Software Engineer,714918,Senior,True,5
Software Engineer,746099,Intermediate,True,3
HR Manager,701630,Junior,False,1
Software Engineer,429897,Senior,False,2
Software Engineer,284715,Junior,True,2
AI Engineer,111715,Intermediate,True,1
BI Analyst,241009,Intermediate,False,1
Mobile Developer,433687,Intermediate,False,2
HR Manager,574374,Senior,False,2
Software Engineer,245895,Senior,False,2
Mobile Developer,682717,Intermediate,False,1
BI Analyst,181951,Junior,True,2
Software Engineer,512481,Senior,True,4
BI Analyst,431821,Intermediate,False,1
HR Manager,215014,Intermediate,True,2
Software Engineer,472495,Junior,False,2
AI Engineer,410999,Junior,False,1
BI Analyst,286796,Intermediate,False,2
BI Analyst,654363,Senior,False,1
BI Analyst,620007,Junior,False,2
Software Engineer,618993,Senior,False,1
BI Analyst,644228,Junior,True,1
HR Manager,242445,Senior,True,1
BI Analyst,711679,Senior,False,2
HR Manager,373855,Intermediate,True,2
Software Engineer,207178,Junior,False,1
HR Manager,360350,Intermediate,True,1
HR Manager,265174,Intermediate,True,2
AI Engineer,274790,Senior,False,2
Software Engineer,315782,Intermediate,False,1
Mobile Developer,688426,Junior,False,1
QA Engineer,609744,Senior,True,3
QA Engineer,658555,Senior,False,2
Software Engineer,533513,Senior,False,2
Mobile Developer,606168,Junior,False,1
Mobile Developer,734937,Senior,False,2
Software Engineer,253558,Intermediate,False,1
Mobile Developer,292956,Intermediate,False,2
BI Analyst,209097,Intermediate,True,2
Software Engineer,305902,Intermediate,True,2
QA Engineer,408791,Junior,True,2
QA Engineer,745917,Junior,False,2
Mobile Developer,376542,Junior,False,1
HR Manager,368172,Intermediate,True,2
HR Manager,576893,Junior,True,1
BI Analyst,453432,Senior,True,5
Software Engineer,749845,Intermediate,True,4
HR Manager,628013,Junior,False,2
BI Analyst,410988,Intermediate,False,2
